time_ms,voltage,spike
0.00,-66.5000,0
0.50,-67.8050,0
1.00,-68.8656,0
1.50,-69.6759,0
2.00,-70.2629,0
2.50,-70.6700,0
3.00,-70.9421,0
3.50,-71.1184,0
4.00,-71.2288,0
4.50,-71.2951,0
5.00,-71.3323,0
5.50,-71.3505,0
6.00,-71.3563,0
6.50,-71.3543,0
7.00,-71.3472,0
7.50,-71.3369,0
8.00,-71.3246,0
8.50,-71.3111,0
9.00,-71.2968,0
9.50,-71.2822,0
10.00,-71.2672,0
10.50,-71.2523,0
11.00,-71.2373,0
11.50,-71.2224,0
12.00,-71.2076,0
12.50,-71.1929,0
13.00,-71.1783,0
13.50,-71.1639,0
14.00,-71.1497,0
14.50,-71.1356,0
15.00,-71.1216,0
15.50,-71.1078,0
16.00,-71.0942,0
16.50,-71.0807,0
17.00,-71.0674,0
17.50,-71.0542,0
18.00,-71.0411,0
18.50,-71.0282,0
19.00,-71.0155,0
19.50,-71.0029,0
20.00,-70.9905,0
20.50,-70.9782,0
21.00,-70.9660,0
21.50,-70.9540,0
22.00,-70.9421,0
22.50,-70.9303,0
23.00,-70.9187,0
23.50,-70.9072,0
24.00,-70.8959,0
24.50,-70.8847,0
25.00,-70.8736,0
25.50,-70.8626,0
26.00,-70.8518,0
26.50,-70.8411,0
27.00,-70.8306,0
27.50,-70.8201,0
28.00,-70.8098,0
28.50,-70.7996,0
29.00,-70.7895,0
29.50,-70.7795,0
30.00,-70.7697,0
30.50,-70.7600,0
31.00,-70.7504,0
31.50,-70.7409,0
32.00,-70.7315,0
32.50,-70.7222,0
33.00,-70.7130,0
33.50,-70.7040,0
34.00,-70.6950,0
34.50,-70.6862,0
35.00,-70.6775,0
35.50,-70.6689,0
36.00,-70.6604,0
36.50,-70.6519,0
37.00,-70.6436,0
37.50,-70.6354,0
38.00,-70.6273,0
38.50,-70.6193,0
39.00,-70.6113,0
39.50,-70.6035,0
40.00,-70.5958,0
40.50,-70.5882,0
